Timestamp,MAX6675_TEMP_C,Custom_ADC,Custom_Vout,Custom_Resistance,Env_Temp_C,Env_Humidity_%
10/3/2025 22:20:17,23.5,2919,2.352,4028.78,26.02,54.34
10/3/2025 22:20:29,23.75,2919,2.352,4028.78,25.68,54.94
10/3/2025 22:20:41,23.5,2921,2.354,4019.17,25.37,56.44
10/3/2025 22:20:52,23.5,2901,2.338,4115.82,25.09,56.47
10/3/2025 22:21:04,23,2923,2.356,4009.58,24.84,56.71
10/3/2025 22:21:16,23.75,2925,2.357,4000,24.64,58.7
10/3/2025 22:21:26,23.5,2924,2.356,4004.79,24.46,57.85
10/3/2025 22:21:39,23,2889,2.328,4174.45,24.29,59.62
10/3/2025 22:21:49,23.75,2923,2.356,4009.58,24.19,60.45
10/3/2025 22:21:59,23.75,2922,2.355,4014.37,24.1,60.15
10/3/2025 22:22:11,23.5,2915,2.349,4048.03,24.03,60.1
10/3/2025 22:22:21,23.75,2917,2.351,4038.4,23.95,59.61
10/3/2025 22:22:33,23.25,2909,2.344,4077,23.88,61.33
10/3/2025 22:22:44,23.5,2909,2.344,4077,23.81,60.99
10/3/2025 22:22:52,23.25,2906,2.342,4091.53,23.68,60.35
10/3/2025 22:23:02,22.75,2912,2.347,4062.5,23.56,60.62
10/3/2025 22:23:12,23.25,2911,2.346,4067.33,23.49,61.04
10/3/2025 22:23:24,23.75,2913,2.347,4057.67,23.44,62.08
10/3/2025 22:23:36,23,2907,2.343,4086.69,23.4,61.47
10/3/2025 22:23:48,23.25,2908,2.343,4081.84,23.35,61.66
10/3/2025 22:23:55,23.25,2910,2.345,4072.17,23.28,61.61
10/3/2025 22:24:07,23.75,2909,2.344,4077,23.21,61.86
10/3/2025 22:24:18,23,2909,2.344,4077,23.15,62.08
10/3/2025 22:24:28,23.5,2906,2.342,4091.53,23.13,62.24
10/3/2025 22:24:39,23.25,2958,2.384,3843.81,23.11,62.35
10/3/2025 22:24:50,23.5,2905,2.341,4096.39,23.09,62.41
10/3/2025 22:25:00,23.25,2929,2.36,3980.88,23.02,62.95
10/3/2025 22:25:10,23.5,3184,2.566,2861.18,23.03,62.53
10/3/2025 22:25:20,23.25,3184,2.566,2861.18,23.09,62.47
10/3/2025 22:25:33,23,3179,2.562,2881.41,23.13,62.59
10/3/2025 22:25:43,23.25,3135,2.526,3062.2,23.08,62.41
10/3/2025 22:25:53,23.25,3179,2.562,2881.41,23.06,62.4
10/3/2025 22:26:07,23.25,2629,2.119,5576.26,23.05,62.56
10/3/2025 22:26:17,23.25,2463,1.985,6626.07,23.07,62.57
10/3/2025 22:26:29,23.5,2527,2.036,6204.99,23.1,62.29
10/3/2025 22:26:48,23.5,2553,2.057,6039.95,23.05,62.52
10/3/2025 22:26:49,23.25,2535,2.043,6153.85,23.05,62.5
10/3/2025 22:27:02,23,2411,1.943,6984.65,23.06,62.65
10/3/2025 22:27:12,23.75,2493,2.009,6425.99,23.02,62.47
10/3/2025 22:27:22,23.75,2418,1.949,6935.48,22.94,62.67
10/3/2025 22:27:42,25.5,2559,2.062,6002.34,22.84,63.1
10/3/2025 22:27:55,26.75,2605,2.099,5719.77,22.86,63.06
10/3/2025 22:28:06,27.75,2463,1.985,6626.07,22.84,62.81
10/3/2025 22:28:19,29,2489,2.006,6452.39,22.85,62.76
10/3/2025 22:28:30,29.5,2529,2.038,6192.17,22.85,62.83
10/3/2025 22:28:42,31,2601,2.096,5743.95,22.8,62.93
